,Objective value,,Optimality Gap,,LP2-Relax Gap,REVPI,RVSS
MPTSPs_D2_50_100,2968.05,error,0.00 (8.70),,0.00,,
MPTSPs_D3_50_100,3075.65,error,0.00 (12.08),,0.00,,
PHONE_200,124.82,124.82,0.00 (0.31),0.00 (0.7),0.00,,
PHONE_300,124.46,124.46,0.00 (0.39),0.00 (0.9),0.00,,
PHONE_500,124.89,124.89,0.00 (0.67),0.00 (1.6),0.00,,
PHONE_1000,125.13,125.13,0.00 (1.20),0.00 (3.1),0.00,,
SDCP_5_10_FallWD_10,32692100.00,첫 iter이후 진행x,0.00 (262.29),,0.00,,
SDCP_5_10_FallWE_10,38162700.00,첫 iter이후 진행x,0.00 (273.41),,0.00,,
SDCP_5_10_SpringWD_10,29862600.00,첫 iter이후 진행x,0.00 (258.55),,0.00,,
SDCP_5_10_SpringWE_10,40646200.00,첫 iter이후 진행x,0.00 (251.44),,0.00,,
SDCP_5_10_SummerWD_10,31373600.00,첫 iter이후 진행x,0.00 (651.83),,0.00,,
SDCP_5_10_SummerWE_10,37011600.00,첫 iter이후 진행x,0.00 (374.19),,0.00,,
SDCP_5_10_WinterWD_10,31047200.00,첫 iter이후 진행x,0.00 (534.04),,0.00,,
SDCP_5_10_WinterWE_10,2205120.00,첫 iter이후 진행x,0.00 (1213.69),,0.00,,
SIZES_3,136932.00,비정상,0.00 (0.44),,0.00,,
SIZES_5,166365.00,비정상,0.00 (0.60),,0.00,,
SIZES_10,249445.00,비정상,0.00 (0.63),,0.00,,
SMKP_120_20,9688.75,비정상,0.21 (timelimit),,0.24,,
SMKP_120_40,9677.18,비정상,0.26 (timelimit),,0.29,,
SMKP_120_60,9671.68,비정상,0.24 (timelimit),,0.27,,
SMKP_120_80,9692.27,비정상,0.25 (timelimit),,0.27,,
SMKP_120_100,9688.88,비정상,0.26 (timelimit),,0.27,,
SSLP_5_25_50,-127.70,-127.70,0.00 (0.24),0.00 (1.0),0.00,,
SSLP_5_25_100,-125.88,-125.88,0.00 (0.54),0.00 (1.5),0.00,,
SSLP_5_50_50,-323.40,-323.40,0.00 (0.31),0.00 (1.9),0.00,,
SSLP_5_50_100,-329.89,-329.89,0.00 (1.05),0.00 (3.2),0.00,,
SSLP_10_45_5,-271.20,error,0.00 (0.43),,0.00,,
SSLP_10_45_10,-289.60,error,0.00 (0.50),,0.00,,
SSLP_10_45_15,-313.14,error,0.00 (0.63),,0.00,,
SSLP_10_50_50,-354.70,-354.70,0.00 (1.29),0.0 (8.8),0.00,,
SSLP_10_50_100,-331.25,-331.25,0.00 (5.42),0.0 (18.2),0.00,,
SSLP_10_50_500,-345.54,-345.54,0.00 (181.35),0.0 (80.4),0.00,,
SSLP_10_50_1000,-350.82,-350.82,0.00 (584.54),0.0 (162.0),0.00,,
SSLP_10_50_2000,-349.71,-349.71,0.00 (1541.44),0.0 (466.7),0.00,,
SUC_FallWD_10,2473720.00,첫 iter이후 진행x,0.00 (2807.89),,3.02,,
SUC_FallWE_10,1562830.00,첫 iter이후 진행x,0.00 (1280.31),,2.18,,
SUC_SpringWD_10,1633280.00,첫 iter이후 진행x,0.00 (1082.81),,2.09,,
SUC_SpringWE_10,1075950.00,첫 iter이후 진행x,0.00 (702.16),,1.50,,
SUC_SummerWD_10,4682171.35,첫 iter이후 진행x,0.03 (timelimit),,3.42,,
SUC_SummerWE_10,3127121.14,첫 iter이후 진행x,0.05 (timelimit),,3.73,,
SUC_WinterWD_10,1797560.00,첫 iter이후 진행x,0.00 (2407.82),,3.20,,
SUC_WinterWE_10,1262630.00,첫 iter이후 진행x,0.00 (1856.55),,2.80,,
