importGroups: ARIZONA_IMPORT	AZNVLA_IMPORT	BAY_AREA	FRESNO_AREA	LADWP_IMPORT	MIGUEL_CORRIDOR	NORTH_BAY_AREA	NORTH_OF_SONGS	NW_IMPORT	P15	P26	SCIT_IMPORT	SDGE	SF_AREA	SOUTH_OF_LUGO	SOUTH_OF_SONGS	S_NEVADA_IMPORT
L33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L101	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
L102	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0
L103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L126	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L138	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1
L139	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
L140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
L143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
L146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
L147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L173	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
L174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L176	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
L177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L179	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
L180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L182	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0
L183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L185	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0
L186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L188	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	0	0	0
L189	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
L190	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
L191	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
L192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L196	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
L197	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
L198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L205	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
L206	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
L207	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
L208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0
L211	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0
L212	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0
L213	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
L214	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
L215	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
L216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L220	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
L221	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
L222	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
L223	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
L224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L229	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
L230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L232	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
L233	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
L234	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
L235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L246	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
L247	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
L248	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L249	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L251	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L252	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L253	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L254	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L255	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L256	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L257	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L258	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L259	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L260	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L261	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L262	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L263	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L264	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L270	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
L271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L276	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
L277	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
L278	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
L279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L345	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
L346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
